movie_title,original_title,type,description,content_rating,genres
Rear Window,Rear Window,movie,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.,PG,"['Dark Comedy', 'Psychological Thriller', 'Suspense Mystery', 'Drama', 'Mystery', 'Thriller']"
Modern Times,Modern Times,movie,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,G,"['Romantic Comedy', 'Satire', 'Slapstick', 'Comedy', 'Drama', 'Romance']"
Once Upon a Time in the West,C'era una volta il West,movie,A mysterious stranger with a harmonica teams up with a notorious desperado to protect a beautiful widow and her land from a ruthless assassin in the employ of a railroad tycoon.,PG-13,"['Adventure Epic', 'Desert Adventure', 'Epic', 'Period Drama', 'Quest', 'Spaghetti Western', 'Western Epic', 'Drama', 'Western']"
City Lights,City Lights,movie,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a blind flower girl accumulates money to be able to help her medically.",G,"['Feel-Good Romance', 'Romantic Comedy', 'Satire', 'Slapstick', 'Comedy', 'Drama', 'Romance']"
WALL·E,WALL·E,movie,"In a future where humans have temporarily abandoned Earth, a trash-compacting robot falls in love with a flying droid and helps her on her quest to restore hope to mankind.",G,"['Adventure Epic', 'Artificial Intelligence', 'Computer Animation', 'Dystopian Sci-Fi', 'Epic', 'Psychological Drama', 'Sci-Fi Epic', 'Space Sci-Fi', 'Adventure', 'Animation']"
Apocalypse Now,Apocalypse Now,movie,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,R,"['Adventure Epic', 'Epic', 'Hard-boiled Detective', 'Psychological Drama', 'Quest', 'Suspense Mystery', 'War Epic', 'Drama', 'Mystery', 'War']"
Memento,Memento,movie,A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife's murderer.,R,"['Psychological Thriller', 'Suspense Mystery', 'Mystery', 'Thriller']"
Dune: Part Two,Dune: Part Two,movie,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",PG-13,"['Dune', 'Action Epic', 'Adventure Epic', 'Desert Adventure', 'Epic', 'Sci-Fi Epic', 'Space Sci-Fi', 'Action', 'Adventure', 'Drama']"
Avengers: Infinity War,Avengers: Infinity War,movie,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,PG-13,"['Marvel', 'Action Epic', 'Adventure Epic', 'Alien Invasion', 'Epic', 'Sci-Fi Epic', 'Space Sci-Fi', 'Superhero', 'Action', 'Adventure']"
Raiders of the Lost Ark,Raiders of the Lost Ark,movie,"In 1936, archaeologist Indiana Jones is tasked by Army Intelligence to help locate a legendary ancient power, the Ark of Covenant, before the Nazis get it first.",PG,"['Indiana Jones', 'Action Epic', 'Adventure Epic', 'Desert Adventure', 'Globetrotting Adventure', 'Quest', 'Adventure']"
Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,movie,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,PG,"['Marvel', 'Action Epic', 'Adventure Epic', 'Coming-of-Age', 'Computer Animation', 'Dark Comedy', 'Epic', 'Fantasy Epic', 'Sci-Fi Epic', 'Superhero']"
The Lives of Others,Das Leben der Anderen,movie,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",R,"['German', 'Political Thriller', 'Psychological Drama', 'Spy', 'Drama', 'Mystery', 'Thriller']"
Sunset Boulevard,Sunset Blvd.,movie,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Approved,"['Dark Comedy', 'Film Noir', 'Psychological Drama', 'Showbiz Drama', 'Tragedy', 'Drama']"
Witness for the Prosecution,Witness for the Prosecution,movie,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Approved,"['Legal Drama', 'Legal Thriller', 'Whodunnit', 'Crime', 'Drama', 'Mystery', 'Thriller']"
Paths of Glory,Paths of Glory,movie,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.,Approved,"['Epic', 'Legal Drama', 'Period Drama', 'Political Drama', 'Psychological Drama', 'Tragedy', 'War Epic', 'Drama', 'War']"
The Shining,The Shining,movie,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.",R,"['Psychological Drama', 'Psychological Horror', 'Supernatural Horror', 'Drama', 'Horror']"
